description,price,rating,review_count,url
"PHILIPS Sonicare Electric Toothbrush with DiamondClean Brush Head, Phillips Sonicare Rechargeable Toothbrush with Pressure Sensor, Sonic Electronic Toothbrush, Travel Case, White 1.0 Count",99,4.3 out of 5 stars,207,https://www.amazon.com/PHILIPS-Toothbrush-DiamondClean-Rechargeable-Electronic/dp/B0BWGWD629/ref=sr_1_79?keywords=Philips&qid=1701064584&sr=8-79
"Philips Soup and Smoothie Maker, Makes 2-4 servings, HR2204/70, 1.2 Liters, Black and Stainless Steel",99,4.3 out of 5 stars,"1,436",https://www.amazon.com/Philips-HR2204-70-Collection-Stainless/dp/B07G3K9FM8/ref=sr_1_80?keywords=Philips&qid=1701064584&sr=8-80
"PHILIPS Epilator Series 8000 5 in 1 Shaver for Women, Trimmer, Pedicure and Body Exfoliator with 9 Accessories, BRE740/14",99,4.4 out of 5 stars,760,https://www.amazon.com/Philips-Beauty-Epilator-Exfoliator-Accessories/dp/B08KV24XVZ/ref=sr_1_81?keywords=Philips&qid=1701064584&sr=8-81
"Philips AVENT Natural Baby Bottle with Natural Response Nipple, Newborn Baby Gift Set, SCD838/02",49,4.7 out of 5 stars,"2,046",https://www.amazon.com/Philips-Natural-Response-SCD838-02/dp/B098YHK4CN/ref=sr_1_82?keywords=Philips&qid=1701064584&sr=8-82
"PHILIPS 4300 Series Fully Automatic Espresso Machine - LatteGo Milk Frother, 8 Coffee Varieties, Intuitive Touch Display, Black, (EP4347/94)",785,4.3 out of 5 stars,"1,548",https://www.amazon.com/PHILIPS-Fully-Automatic-Espresso-Machine/dp/B08SJ7NFY1/ref=sr_1_83?keywords=Philips&qid=1701064584&sr=8-83
"Philips QP230/50 Ersatzklingen für UK-OneBlade, 3 Stück",30,4.7 out of 5 stars,"101,299",https://www.amazon.com/Philips-OneBlade-Replacement-Blade-supply/dp/B073PD6YRQ/ref=sr_1_84?keywords=Philips&qid=1701064584&sr=8-84
"PHILIPS Sonicare Electric Toothbrush with DiamondClean Brush Head, Phillips Sonicare Rechargeable Toothbrush with Pressure Sensor, Sonic Electronic Toothbrush, Travel Case, Black 1.0 Count",79,4.5 out of 5 stars,108,https://www.amazon.com/Toothbrush-DiamondClean-Rechargeable-Electronic-philips1130/dp/B0BWNY7ZZS/ref=sr_1_85?keywords=Philips&qid=1701064584&sr=8-85
"PHILIPS SmartSleep Sleep and Wake-Up Light, Simulated Sunrise and Sunset, Multiple Lights and Sounds, RelaxBreathe to Sleep, HF3650/60",159,4.3 out of 5 stars,"2,509",https://www.amazon.com/Philips-Wake-up-Therapy-HF3650-60/dp/B075S53HD9/ref=sr_1_86?keywords=Philips&qid=1701064584&sr=8-86
"Philips Sonicare DiamondClean Smart 9500 Rechargeable Electric Power Toothbrush, Rose Gold, HX9924/61",229,4.5 out of 5 stars,"4,211",https://www.amazon.com/Philips-Sonicare-Electric-Rechargeable-Toothbrush/dp/B07CC2K76R/ref=sr_1_87?keywords=Philips&qid=1701064584&sr=8-87
"Philips Norelco S9000 Prestige Rechargeable Wet & Dry Shaver with Bonus Set of Replacement Shaving Heads, SP9840/90",244,4.6 out of 5 stars,"3,514",https://www.amazon.com/Philips-Norelco-Rechargeable-Replacement-SP9840/dp/B0CDDBWTYT/ref=sr_1_88?keywords=Philips&qid=1701064584&sr=8-88
"Philips Beauty Lady Electric Shaver Series 6000, Cordless with 7 Accessories, BRL146/00, White",49,4.2 out of 5 stars,"2,402",https://www.amazon.com/Electric-Cordless-Accessories-BRL146-00/dp/B0B6456LZB/ref=sr_1_89?keywords=Philips&qid=1701064584&sr=8-89
